WBS,Item,Variant,Number needed,Percent spares,Total number ,Cost per unit,Total cost,Duration [wks],M&S Dependents,Labor Dependents,Contingency Level,Link to reference,Notes
204.03.02,COTS AMC for R&D,,1,0,1,2850,2850,2,,,,,
204.03.02,MTCA crate for R&D,,1,0,1,13103,13103,2,,,,,includes power supplies and JSM
204.03.02,MCH for R&D,,1,0,1,6094,6094,2,,,,,
204.03.02,MTCA crate,,262,0,262,13103,3432986,4,,,,,"Informal quote from vadatech has chassis, JSM, and 2 power supplies included. "
204.03.02,MCH,,524,0,524,6094,3193256,4,,,,,based on informal quote
204.03.02,AC power cables,,524,20,629,20,12580,2,,,,,
204.03.02,Ethernet cables,,524,20,629,50,31450,2,,,,,
204.03.02,Machine interface cable replacement,,262,20,315,100,31500,2,,,,,"Assuming a cable breaks during installation, we should replace it"
204.03.02,Viking connector replacements,,131,20,158,50,7900,2,,,,,"Assuming a Viking connector breaks, we should replace it"
204.03.02,Clock cables,,524,20,629,100,62900,2,,,,,
204.03.02,AMC Protype fab & assemb.,Type A,0,0,0,2000,0,0,,,,,
204.03.02,AMC Protype fab & assemb.,Type B,0,0,0,2000,0,0,,,,,
204.03.02,AMC Protype fab & assemb.,Type C,0,0,0,2000,0,0,,,,,
204.03.02,AMC Protype fab & assemb.,Type D,0,0,0,2000,,0,,,,,
204.03.02,AMC Protype fab & assemb.,Type E,0,0,0,2000,,0,,,,,
204.03.02,AMC Protype fab & assemb.,Type F,0,0,0,2000,,0,,,,,
204.03.02,AMC Prepoduction fab & assemb.,Type A,0,0,0,2000,0,0,,,,,
204.03.02,AMC Prepoduction fab & assemb.,Type B,0,0,0,2000,,0,,,,,
204.03.02,AMC Prepoduction fab & assemb.,Type C,0,0,0,2000,,0,,,,,
204.03.02,AMC Prepoduction fab & assemb.,Type D,0,0,0,2000,,0,,,,,
204.03.02,AMC Prepoduction fab & assemb.,Type E,0,0,0,2000,0,0,,,,,
204.03.02,AMC Prepoduction fab & assemb.,Type F,0,0,0,2000,0,0,,,,,
204.03.03,AMC Production fab & assemb.,Type A,0,0,0,2000,0,0,,,,,
204.03.03,AMC Production fab & assemb.,Type B,0,0,0,2000,,0,,,,,
204.03.03,AMC Production fab & assemb.,Type C,0,0,0,2000,,0,,,,,
204.03.03,AMC Production fab & assemb.,Type D,0,0,0,2000,,0,,,,,
204.03.03,AMC Production fab & assemb.,Type E,0,0,0,2000,0,0,,,,,
204.03.03,AMC Production fab & assemb.,Type F,0,0,0,2000,0,0,,,,,
204.03.03,AMC (COTS),Type A,1000,20,1200,2850,3420000,6,,,,,Assuming a commercial option exists
204.03.03,AMC (COTS),Type B,500,20,600,2850,1710000,4,,,,,
204.03.03,AMC (COTS),Type C,500,20,600,2850,1710000,4,,,,,
204.03.03,AMC (COTS),Type D,100,20,120,2850,342000,1,,,,,
204.03.03,AMC (COTS),Type E,50,20,60,2850,171000,1,,,,,
204.03.03,AMC (COTS),Type F,24,20,29,2850,82650,1,,,,,
204.03.03,RTM Protype fab & assemb.,Type A,5,0,5,2000,10000,8,,,,,
204.03.03,RTM Protype fab & assemb.,Type B,5,0,5,2000,10000,8,,,,,
204.03.03,RTM Protype fab & assemb.,Type C,5,0,5,2000,10000,8,,,,,
204.03.03,RTM Prepoduction fab & assemb.,Type A,25,0,25,2000,50000,8,,40,,,
204.03.03,RTM Prepoduction fab & assemb.,Type B,25,0,25,2000,50000,8,,41,,,
204.03.03,RTM Prepoduction fab & assemb.,Type C,25,0,25,2000,50000,8,,42,,,
204.03.03,RTM Production fab & assemb.,Type A,1500,20,1800,2000,3600000,16,,43,,,
204.03.03,RTM Production fab & assemb.,Type B,500,20,600,2000,1200000,8,,44,,,
204.03.03,RTM Production fab & assemb.,Type C,174,20,209,2000,418000,8,,45,,,
204.03.03,Viking Connector DB Prototype fab & assemb.,Type A,5,0,5,2000,10000,8,,,,,
204.03.03,Viking Connector DB Prototype fab & assemb.,Type B,5,0,5,2000,10000,8,,,,,
204.03.03,Viking Connector DB Prototype fab & assemb.,Type C,5,0,5,2000,10000,8,,,,,
204.03.03,Viking Connector DB Preproduction fab & assemb.,Type A,25,0,25,2000,50000,8,,,,,
204.03.03,Viking Connector DB Preproduction fab & assemb.,Type B,25,0,25,2000,50000,8,,,,,
204.03.03,Viking Connector DB Preproduction fab & assemb.,Type C,25,0,25,2000,50000,8,,,,,
204.03.03,Viking Connector DB Production fab & assemb.,Type A,1500,20,1800,2000,3600000,16,,,,,
204.03.03,Viking Connector DB Production fab & assemb.,Type B,500,20,600,2000,1200000,8,,,,,
204.03.03,Viking Connector DB Production fab & assemb.,Type C,174,20,209,2000,418000,8,,,,,
204.03.03,Adhoc hardware: swic scanners,NA,0,20,0,0,0,8,,,,,
204.03.03,Adhoc hardware: MDAT fan-in/repeater,NA,0,20,0,0,0,8,,,,,
204.03.03,Adhoc hardware: vacuum system,NA,0,20,0,0,0,8,,,,,
204.03.03,Adhoc hardware: motion control,NA,0,20,0,0,0,8,,,,,
